Abrothrix olivaceus, Trypanosomiasis - American, Chile
Acerodon jubatus, Ebola, Philippines
Acinonyx jubatus, Anthrax, Namibia
Acinonyx jubatus, Bartonellosis - cat borne, Namibia
Acinonyx jubatus, Bartonellosis - cat borne, United States
Acinonyx jubatus, Toxoplasmosis, United Arab Emirates
Acinonyx jubatus, Vaccinia and cowpox, Worldwide
Acomys cahirinus, Bartonellosis - other systemic, Israel
Acomys cahirinus, Leishmaniasis - visceral, Ethiopia
Acomys dimidiatus, Fascioliasis, Saudi Arabia
Addax nasomaculatus, Spotted fevers - Old World, Worldwide
Addax nasomaculatus, Spotted fevers - Old World, Israel
Addax nasomaculatus, Echinococcosis - unilocular, Worldwide
Addax nasomaculatus, Echinococcosis - unilocular, Tunisia
Aepyceros melampus, Brucellosis, Zimbabwe
Aepyceros melampus, Cryptosporidiosis, South Africa
Aepyceros melampus, Echinococcosis - unilocular, South Africa
Aepyceros melampus, Fascioliasis, Zimbabwe
Aepyceros melampus, Pentastomiasis - Armillifer, South Africa
Aepyceros melampus, Pentastomiasis - Linguatula, South Africa
Aepyprymnus rufescens, Angiostrongyliasis, Worldwide
Aepyprymnus rufescens, Angiostrongyliasis, Australia
Ailuropoda melanoleuca, Toxoplasmosis, China
Ailuropoda melanoleuca, Cryptosporidiosis, China
Ailuropoda melanoleuca, Toxoplasmosis, Worldwide
Ailurus fulgens, Amoebiasis, Nepal
Ailurus fulgens, Ascariasis, Nepal
Ailurus fulgens, Cryptosporidiosis, China
Ailurus fulgens, Cyclosporiasis, Nepal
Ailurus fulgens, Diphyllobothriasis, Nepal
Ailurus fulgens, Hookworm, Nepal
Ailurus fulgens, Strongyloidiasis, Nepal
Akodon cursor, Hantavirus pulmonary syndrome, Paraguay
Akodon montensis, Angiostrongyliasis - abdominal, Argentina
Akodon serrensis, Hantavirus pulmonary syndrome, Brazil
Akodon simulator, Hantavirus pulmonary syndrome, Argentina
Alcelaphus buselaphus, Trypanosomiasis - African, Worldwide
Alces alces, Echinococcosis - unilocular, Canada
Alces alces, Toxoplasmosis, United States
Alces alces, Anaplasmosis, Norway
Alces alces, Anaplasmosis, Poland
Alces alces, Anaplasmosis, Sweden
Alces alces, Bartonellosis - other systemic, Finland
Alces alces, Bartonellosis - other systemic, Norway
Alces alces, Brucellosis, Canada
Alces alces, Brucellosis, United States
Alces alces, Echinococcosis - unilocular, Finland
Alces alces, Echinococcosis - unilocular, United States
Alces alces, Fascioliasis, Armenia
Alces alces, Fascioliasis, Azerbaijan
Alces alces, Fascioliasis, Belarus
Alces alces, Fascioliasis, Estonia
Alces alces, Fascioliasis, Georgia
Alces alces, Fascioliasis, Kazakhstan
Alces alces, Fascioliasis, Kyrgyzstan
Alces alces, Fascioliasis, Latvia
Alces alces, Fascioliasis, Lithuania
Alces alces, Fascioliasis, Moldova
Alces alces, Fascioliasis, Russian Federation
Alces alces, Fascioliasis, Tajikistan
Alces alces, Fascioliasis, Turkmenistan
Alces alces, Fascioliasis, Ukraine
Alces alces, Fascioliasis, Uzbekistan
Alces alces, Giardiasis, Worldwide
Alces alces, Giardiasis, Norway
Alces alces, Hantaviruses - Old World, Sweden
Alces alces, Hepatitis E, Poland
Alces alces, Hepatitis E, Sweden
Alces alces, Toxoplasmosis, Finland
Alces alces, Toxoplasmosis, Norway
Alces alces, Toxoplasmosis, Sweden
Alouatta belzebul, Toxoplasmosis, Worldwide
Alouatta caraya, Yellow fever, Brazil
Alouatta caraya, Leptospirosis, Brazil
Alouatta caraya, Brucellosis, Brazil
Alouatta caraya, Cryptosporidiosis, Argentina
Alouatta caraya, Dengue, Argentina
Alouatta caraya, Giardiasis, Argentina
Alouatta caraya, Group C viral fevers, Brazil
Alouatta caraya, Hepatitis A, Brazil
Alouatta caraya, Herpes simplex infection, Worldwide
Alouatta caraya, Ilheus and Bussuquara, Argentina
Alouatta caraya, St. Louis encephalitis, Argentina
Alouatta caraya, Vaccinia and cowpox, Brazil
Alouatta caraya, West Nile fever, Argentina
Alouatta caraya, Yellow fever, Argentina
Alouatta palliata, Ascariasis, Costa Rica
Alouatta palliata, Chandipura and Vesicular stomatitis viruses, Costa Rica
Alouatta palliata, Leishmaniasis - cutaneous, Mexico
Alouatta palliata, Trypanosomiasis - American, Mexico
Alouatta pigra, Giardiasis, Worldwide
Alouatta pigra, Giardiasis, Belize
Alouatta pigra, Leishmaniasis - cutaneous, Mexico
Alouatta pigra, Trypanosomiasis - American, Mexico
Alouatta pigra, West Nile fever, Mexico
Alouatta seniculus, Mayaro, French Guiana
Alouatta seniculus, Mayaro, Venezuela
Alouatta seniculus, Yellow fever, Colombia
Alouatta seniculus, Yellow fever, French Guiana
Alouatta seniculus, Yellow fever, Trinidad and Tobago
Ammotragus lervia, Brucellosis, Spain
Ammotragus lervia, Toxoplasmosis, Brazil
Ammotragus lervia, Toxoplasmosis, Spain
Anoura caudifer, Hantavirus pulmonary syndrome, Brazil
Anourosorex squamipes, Hantaviruses - Old World, Vietnam
Antilocapra americana, Capillariasis - extraintestinal, Canada
Antilocapra americana, Eastern equine encephalitis, Canada
Antilope cervicapra, Orf, India
Aotus trivirgatus, Leishmaniasis - cutaneous, Worldwide
Aotus trivirgatus, Leishmaniasis - cutaneous, Panama
Aotus trivirgatus, Leishmaniasis - mucocutaneous, Panama
Apodemus agrarius, Hantaviruses - Old World, Republic of Korea
Apodemus agrarius, Hantaviruses - Old World, Russian Federation
Apodemus agrarius, Hantaviruses - Old World, Turkey
Apodemus agrarius, Leptospirosis, Republic of Korea
Apodemus agrarius, Echinostomiasis, Republic of Korea
Apodemus agrarius, Hantaviruses - Old World, Worldwide
Apodemus agrarius, Hymenolepis diminuta infection, Republic of Korea
Apodemus agrarius, Hymenolepis nana infection, Republic of Korea
Apodemus agrarius, Lyme disease, Republic of Korea
Apodemus agrarius, Babesiosis, China
Apodemus agrarius, Ehrlichiosis - human monocytic, Hungary
Apodemus agrarius, Hantaviruses - Old World, Croatia
Apodemus agrarius, Hantaviruses - Old World, Latvia
Apodemus agrarius, Hantaviruses - Old World, Poland
Apodemus agrarius, Leptospirosis, China
Apodemus agrarius, Lymphocytic choriomeningitis, Finland
Apodemus agrarius, Typhus - scrub, Republic of Korea
Apodemus agrarius, Hantaviruses - Old World,
Apodemus agrarius, Anaplasmosis, China
Apodemus agrarius, Anaplasmosis, Hungary
Apodemus agrarius, Bartonellosis - other systemic, China
Apodemus agrarius, Bartonellosis - other systemic, Poland
Apodemus agrarius, Bartonellosis - other systemic, Slovakia
Apodemus agrarius, Hantaviruses - Old World, Bulgaria
Apodemus agrarius, Hantaviruses - Old World, China
Apodemus agrarius, Hantaviruses - Old World, Denmark
Apodemus agrarius, Hantaviruses - Old World, Estonia
Apodemus agrarius, Hantaviruses - Old World, Slovakia
Apodemus agrarius, Hantaviruses - Old World, United States
Apodemus agrarius, Leptospirosis, Lithuania
Apodemus agrarius, Leptospirosis, Poland
Apodemus agrarius, Lyme disease, China
Apodemus agrarius, Lyme disease, Ukraine
Apodemus agrarius, Lymphocytic choriomeningitis, Worldwide
Apodemus agrarius, North Asian tick typhus, China
Apodemus agrarius, Rabies, China
Apodemus agrarius, Severe fever with thrombocytopenia syndrome, China
Apodemus agrarius, Tick-borne encephalitis, Estonia
Apodemus agrarius, Tick-borne encephalitis, Republic of Korea
Apodemus agrarius, Tick-borne encephalitis, Slovenia
Apodemus agrarius, Toxocariasis, Slovakia
Apodemus agrarius, Typhus - endemic, Republic of Korea
Apodemus agrarius, Vaccinia and cowpox, Hungary
Apodemus argenteus, Tick-borne encephalitis, Japan
Apodemus argenteus, Yersiniosis, Japan
Apodemus flavicollis, Babesiosis, Croatia
Apodemus flavicollis, Ehrlichiosis - human monocytic, Hungary
Apodemus flavicollis, Hantaviruses - Old World, Italy
Apodemus flavicollis, Lymphocytic choriomeningitis, Finland
Apodemus flavicollis, Tick-borne encephalitis,
Apodemus flavicollis, Anaplasmosis, Hungary
Apodemus flavicollis, Anaplasmosis, Italy
Apodemus flavicollis, Bartonellosis - cat borne, Norway
Apodemus flavicollis, Capillariasis - extraintestinal, Turkey
Apodemus flavicollis, Hantaviruses - Old World, Albania
Apodemus flavicollis, Hantaviruses - Old World, Bulgaria
Apodemus flavicollis, Hantaviruses - Old World, Romania
Apodemus flavicollis, Hantaviruses - Old World, Sweden
Apodemus flavicollis, Leptospirosis, Croatia
Apodemus flavicollis, Leptospirosis, Poland
Apodemus flavicollis, Relapsing fever, Hungary
Apodemus flavicollis, Relapsing fever, Slovakia
Apodemus flavicollis, Tick-borne encephalitis, Slovenia
Apodemus flavicollis, Tick-borne encephalitis, Switzerland
Apodemus flavicollis, Toxocariasis, Slovakia
Apodemus pallipes, Tick-borne encephalitis, Kyrgyzstan
Apodemus peninsulae, Anaplasmosis, China
Apodemus speciosus, Tick-borne encephalitis, Japan
Apodemus speciosus, Babesiosis, Japan
Apodemus speciosus, Cryptosporidiosis, Japan
Apodemus speciosus, Hantaviruses - Old World, Japan
Apodemus speciosus, Leptospirosis, Worldwide
Apodemus speciosus, Leptospirosis, Japan
Apodemus speciosus, Yersiniosis, Japan
Apodemus sylvaticus, Hantaviruses - Old World, Belgium
Apodemus sylvaticus, Hantaviruses - Old World, Czech Republic
Apodemus sylvaticus, Toxoplasmosis, United Kingdom
Apodemus sylvaticus, Hantaviruses - Old World, Croatia
Apodemus sylvaticus, Leptospirosis, Czech Republic
Apodemus sylvaticus, Tick-borne encephalitis,
Apodemus sylvaticus, Anaplasmosis, France
Apodemus sylvaticus, Anaplasmosis, Scotland
Apodemus sylvaticus, Anaplasmosis, Switzerland
Apodemus sylvaticus, Anaplasmosis, Turkey
Apodemus sylvaticus, Anaplasmosis, United Kingdom
Apodemus sylvaticus, Capillariasis - extraintestinal, Spain
Apodemus sylvaticus, Coltiviruses - Old World, Worldwide
Apodemus sylvaticus, Coltiviruses - Old World, France
Apodemus sylvaticus, Echinostomiasis, United Kingdom
Apodemus sylvaticus, Hantaviruses - Old World, France
Apodemus sylvaticus, Hantaviruses - Old World, Ireland
Apodemus sylvaticus, Hantaviruses - Old World, United Kingdom
Apodemus sylvaticus, Hymenolepis diminuta infection, Worldwide
Apodemus sylvaticus, Leishmaniasis - visceral, China
Apodemus sylvaticus, Leishmaniasis - visceral, Spain
Apodemus sylvaticus, Leptospirosis, Azerbaijan
Apodemus sylvaticus, Leptospirosis, Iran
Apodemus sylvaticus, Louping ill, Worldwide
Apodemus sylvaticus, Lyme disease, Denmark
Apodemus sylvaticus, Lyme disease, Ireland
Apodemus sylvaticus, Lyme disease, Portugal
Apodemus sylvaticus, Lyme disease, Switzerland
Apodemus sylvaticus, Lyme disease, Turkey
Apodemus sylvaticus, Lymphocytic choriomeningitis, Worldwide
Apodemus sylvaticus, Lymphocytic choriomeningitis, Ireland
Apodemus sylvaticus, Lymphocytic choriomeningitis, Spain
Apodemus sylvaticus, Lymphocytic choriomeningitis, United Kingdom
Apodemus sylvaticus, Tick-borne encephalitis, Slovenia
Apodemus sylvaticus, Tick-borne encephalitis, Switzerland
Apodemus sylvaticus, Toxoplasmosis, Netherlands
Apodemus sylvaticus, Typhus - endemic, Spain
Apodemus sylvaticus, Vaccinia and cowpox, Worldwide
Apodemus sylvaticus, Vaccinia and cowpox, Norway
Apodemus sylvaticus, Vaccinia and cowpox, Turkey
Apodemus sylvaticus, Vaccinia and cowpox, United Kingdom
Apodemus uralensis, Hantaviruses - Old World, Turkey
Apodemus uralensis, Hantaviruses - Old World, Czech Republic
Apodemus witherbyi, Echinococcosis - multilocular, Iran
