,id.row,row.order,disease,multi.disease.flag,geocode.flag,country..source.,region..source.,affected.locations,years,date,cases..total.,cases..human.,cases..animal.,deaths..total.,deaths..human.,deaths..animal.,population,source,notes,setting,clinical,pathogen,lon,lat
26,26,372,anaplasmosis,0,0,china,Anhui,China,2006,October,9,9,,,,,health-care workers,,Infection acquired from blood or secretions from an index patient.,hospital,,,117.9249002,30.6006773
27,27,373,anaplasmosis,0,0,china,Shandong (Wanjiakou),China,2008,June,5,,,3,,,,,Outbreak in Wanjiakou village.,,,,121.806557,37.038896
811,811,1022,Argentine hemorrhagic fever,0,0,argentina,Buenos Aires,,1959*,,,,,,,,,,"An outbreak of ""hemorrhagic fever"" was reported in northeastern Buenos Aires.",,,,-58.3815591,-34.6036844
812,812,1023,Argentine hemorrhagic fever,0,0,argentina,,,1963,,,,,,,,,,Outbreak reported - no additional details.,,,,-63.616672,-38.416097
813,813,1058,babesiosis,0,0,netherlands,Eastern Flevoland,,1984,,12,,,,,,animals,,,,,,5.2208113,52.392929
814,814,1059,babesiosis,0,0,usa,New York (Long Island),,1982,,6,,,,,,,,,,,,-73.134961,40.789142
815,815,1060,babesiosis,0,0,usa,Connecticut,,1988 - 1989,,6,,,,,,,,,,,,-73.087749,41.6032207
816,816,1061,babesiosis,0,0,usa,Virginia (Richmond),,2012*,,3,3,,,,,neonates,blood or blood products,Outbreak among neonates was associated with a single infected blood donor.,neonatal care unit,,,-77.4360481,37.5407246
825,825,--------,bartonellosis - other systemic,0,0,burundi,,,1997 - 1998,,,,,,,,,,Outbreak reported - additional details unavailable.,,,,29.918886,-3.373056
826,826,1122,bartonellosis - other systemic,0,0,czechrepublic,Northern Region,,2007,,7,7,,,,,a family,,Outbreak among members of family in the northern region. The suspected vectors were pigeon mites (Dermanyssus sp.).,,,Bartonella quintana,15.472962,49.817492
827,827,1123,bartonellosis - other systemic,0,0,france,Marseille,,1996 - 1997,,16,,,,,,,,,,,Bartonella quintana,5.36978,43.296482
828,828,1124,bartonellosis - other systemic,0,0,italy,Friuli Venezia Giulia Region ,,2015*,,3,,,,,,children,,,,,Bartonella quintana,13.1033646,46.2259177
830,830,1126,bartonellosis - other systemic,0,0,usa,Washington (Seattle),,1993,,10,,,,,,homeless,,,,bacteremia,Bartonella quintana,-122.3320708,47.6062095
850,850,1173,Bolivian hemorrhagic fever,0,0,bolivia,,,1964,,~500,,,~90,,,,,Case and mortality statistics approximate.,,,,-63.588653,-16.290154
851,851,1174,Bolivian hemorrhagic fever,0,0,bolivia,Beni Department,,1994,,10,,,,,,,,,,,,-65.0957792,-14.3782747
852,852,1175,Bolivian hemorrhagic fever,0,0,bolivia,Beni Department,,2007 - 2008,,220,,,14,,,,,,,,,-65.0957792,-14.3782747
