Spp,Order,Zoonosis,Label,parasiteGMPD,Citation,ParasiteCorrectedNameGMPD,Note,in GIDEON not in GMPD,country,multiple countries in GIDEON for host-zdx,recorded each country,multiple pathogens identified in GIDEON for disease,Genbank ID
Tachyglossus aculeatus,MONOTREMATA,,0,,,,,,,,,,
Tachyglossus aculeatus,MONOTREMATA,,0,,,,,,,,,,
Tachyglossus aculeatus,MONOTREMATA,,0,,,,,,,,,,
Tachyglossus aculeatus,MONOTREMATA,,0,,,,,,,,,,
Tachyglossus aculeatus,MONOTREMATA,,0,,,,,,,,,,
Tachyglossus aculeatus,MONOTREMATA,,0,,,,,,,,,,
Zaglossus attenboroughi,MONOTREMATA,,0,,,,,,,,,,
Zaglossus bartoni,MONOTREMATA,,0,,,,,,,,,,
Zaglossus bartoni,MONOTREMATA,,0,,,,,,,,,,
Zaglossus bartoni,MONOTREMATA,,0,,,,,,,,,,
Zaglossus bartoni,MONOTREMATA,,0,,,,,,,,,,
Zaglossus bartoni,MONOTREMATA,,0,,,,,,,,,,
Zaglossus bruijni,MONOTREMATA,,0,,,,,,,,,,
Caluromys derbianus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Caluromys derbianus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Caluromys derbianus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Caluromys derbianus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Caluromys derbianus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Caluromys derbianus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Caluromys derbianus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Caluromys lanatus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Caluromys lanatus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Caluromys lanatus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Caluromys lanatus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Caluromys lanatus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Caluromys lanatus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Caluromys lanatus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Caluromys philander,DIDELPHIMORPHIA,,0,,,,,,,,,,
Caluromys philander,DIDELPHIMORPHIA,,0,,,,,,,,,,
Caluromys philander,DIDELPHIMORPHIA,,0,,,,,,,,,,
Caluromys philander,DIDELPHIMORPHIA,,0,,,,,,,,,,
Caluromys philander,DIDELPHIMORPHIA,,0,,,,,,,,,,
Caluromysiops irrupta,DIDELPHIMORPHIA,,0,,,,,,,,,,
Glironia venusta,DIDELPHIMORPHIA,,0,,,,,,,,,,
Chironectes minimus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Chironectes minimus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Chironectes minimus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Chironectes minimus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Chironectes minimus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Didelphis aurita,DIDELPHIMORPHIA,,0,,,,,,,,,,
Didelphis imperfecta,DIDELPHIMORPHIA,,0,,,,,,,,,,
Didelphis pernigra,DIDELPHIMORPHIA,,0,,,,,,,,,,
Gracilinanus aceramarcae,DIDELPHIMORPHIA,,0,,,,,,,,,,
Gracilinanus agilis,DIDELPHIMORPHIA,,0,,,,,,,,,,
Gracilinanus agricolai,DIDELPHIMORPHIA,,0,,,,,,,,,,
Gracilinanus dryas,DIDELPHIMORPHIA,,0,,,,,,,,,,
Gracilinanus emiliae,DIDELPHIMORPHIA,,0,,,,,,,,,,
Gracilinanus formosus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Gracilinanus ignitus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Gracilinanus marica,DIDELPHIMORPHIA,,0,,,,,,,,,,
Gracilinanus microtarsus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Gracilinanus microtarsus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Gracilinanus microtarsus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Hyladelphys kalinowskii,DIDELPHIMORPHIA,,0,,,,,,,,,,
Lestodelphys halli,DIDELPHIMORPHIA,,0,,,,,,,,,,
Lutreolina crassicaudata,DIDELPHIMORPHIA,,0,,,,,,,,,,
Lutreolina crassicaudata,DIDELPHIMORPHIA,,0,,,,,,,,,,
Lutreolina crassicaudata,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosa andersoni,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosa lepida,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosa mexicana,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosa mexicana,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosa mexicana,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosa mexicana,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosa murina,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosa quichua,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosa robinsoni,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosa robinsoni,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosa robinsoni,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosa robinsoni,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosa robinsoni,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosa robinsoni,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosa robinsoni,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosa robinsoni,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosa robinsoni,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosa rubra,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosa tyleriana,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosa xerophila,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosops bishopi,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosops cracens,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosops dorothea,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosops fuscatus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosops fuscatus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosops fuscatus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosops fuscatus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosops handleyi,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosops impavidus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosops incanus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosops invictus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosops juninensis,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosops neblina,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosops noctivagus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosops parvidens,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosops paulensis,DIDELPHIMORPHIA,,0,,,,,,,,,,
Marmosops pinheiroi,DIDELPHIMORPHIA,,0,,,,,,,,,,
Metachirus nudicaudatus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Metachirus nudicaudatus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Metachirus nudicaudatus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Metachirus nudicaudatus,DIDELPHIMORPHIA,,0,,,,,,,,,,
Metachirus nudicaudatus,DIDELPHIMORPHIA,,0,,,,,,,,,,
