Spp,Label,Order,Zoonosis,ParasiteGMPD
Acinonyx_jubatus,1,Carnivora,Anthrax,Bacillus anthracis
Acinonyx_jubatus,1,Carnivora,Toxoplasmosis,Toxoplasma sp.
Ailuropoda_melanoleuca,1,Carnivora,Cryptosporidiosis,Cryptosporidium sp.
Ailuropoda_melanoleuca,1,Carnivora,Toxoplasmosis,Toxoplasma sp.
Ailurus_fulgens,1,Carnivora,Cryptosporidiosis,Cryptosporidium sp.
Aonyx_capensis,0,Carnivora,,
Aonyx_cinerea,0,Carnivora,,
Arctictis_binturong,1,Carnivora,Influenza,Influenza
Arctocephalus_australis,1,Carnivora,Anisakiasis,Contracaecum osculatum
Arctocephalus_forsteri,1,Carnivora,Toxoplasmosis,Toxoplasma sp.
Arctocephalus_galapagoensis,0,Carnivora,,
Arctocephalus_gazella,1,Carnivora,Toxoplasmosis,Toxoplasma sp.
Arctocephalus_philippii,0,Carnivora,,
Arctocephalus_pusillus,1,Carnivora,Toxoplasmosis,Toxoplasma sp.
Arctocephalus_townsendi,0,Carnivora,,
Arctocephalus_tropicalis,0,Carnivora,,
Arctogalidia_trivirgata,0,Carnivora,,
Arctonyx_collaris,0,Carnivora,,
Atelocynus_microtis,0,Carnivora,,
Atilax_paludinosus,1,Carnivora,Paragonimiasis,Paragonimus sp.
Atilax_paludinosus,1,Carnivora,Rabies,Lyssavirus Rabies lyssavirus
Bassaricyon_alleni,0,Carnivora,,
Bassaricyon_beddardi,0,Carnivora,,
Bassaricyon_gabbii,0,Carnivora,,
Bassaricyon_lasius,0,Carnivora,,
Bassaricyon_pauli,0,Carnivora,,
Bassariscus_astutus,1,Carnivora,Baylisascariasis,Baylisascaris sp.
Bassariscus_astutus,1,Carnivora,Trypanosomiasis - American,Trypanosoma sp.
Bassariscus_sumichrasti,0,Carnivora,,
Bdeogale_crassicauda,0,Carnivora,,
Bdeogale_jacksoni,0,Carnivora,,
Bdeogale_nigripes,0,Carnivora,,
Canis_aureus,1,Carnivora,Anaplasmosis,Anaplasma sp.
Canis_aureus,1,Carnivora,Brucellosis,Brucella sp.
Canis_aureus,1,Carnivora,Dipylidiasis,Dipylidium sp.
Canis_aureus,1,Carnivora,Dirofilariasis,Dirofilaria immitis
Canis_aureus,1,Carnivora,Echinococcosis - multilocular,Echinococcus multilocularis
Canis_aureus,1,Carnivora,Echinococcosis - unilocular,Echinococcus granulosus
Canis_aureus,1,Carnivora,Ehrlichiosis - human monocytic,Ehrlichia canis
Canis_aureus,1,Carnivora,Ehrlichiosis - human monocytic,Ehrlichia chaffeensis
Canis_aureus,1,Carnivora,Ehrlichiosis - human monocytic,Ehrlichia sp.
Canis_aureus,1,Carnivora,Giardiasis,Giardia sp.
Canis_aureus,1,Carnivora,Leishmaniasis - cutaneous,Leishmania sp.
Canis_aureus,1,Carnivora,Leishmaniasis - visceral,Leishmania sp.
